Start(Malay Peninsula Standard Time);Stop(Malay Peninsula Standard Time);Trend_Period;Vrms_AN_max;Vrms_BN_max;Vrms_CN_max;Vrms_AB_max;Vrms_BC_max;Vrms_CA_max;Irms_A_max;Irms_B_max;Irms_C_max;PowerP_A_max;PowerP_B_max;PowerP_C_max;PowerP_Total_max
2022-08-02 15:05:00.000;2022-08-02 15:10:00.000;300;237.233;237.093;238.957;409.755;412.75;412.992;89.7911;93.6612;85.5161;19631.2;20378.1;18628.6;58637.8
2022-08-02 15:10:00.000;2022-08-02 15:15:00.000;300;237.642;237.243;238.993;410.38;412.728;413.417;93.7233;99.3703;92.7302;20407.8;21611.1;20236.5;62255.4
2022-08-02 15:15:00.000;2022-08-02 15:20:00.000;300;237.575;237.258;238.908;410.37;412.686;413.232;83.1129;88.2224;86.972;18097.9;19173.4;19006.8;56277.9
2022-08-02 15:20:00.000;2022-08-02 15:25:00.000;300;237.476;237.176;238.839;410.201;412.569;413.086;87.8161;95.5424;87.9478;19166.4;20876.8;19285.8;59329.1
2022-08-02 15:25:00.000;2022-08-02 15:30:00.000;300;237.255;236.917;238.715;409.717;412.255;412.837;109.275;117.541;110.862;24338.4;26235.7;24852.4;75426.5
2022-08-02 15:30:00.000;2022-08-02 15:35:00.000;300;237.28;237.01;238.647;409.893;412.268;412.735;121.555;128.604;126.893;27188.3;28823.1;28593.9;84605.4
2022-08-02 15:35:00.000;2022-08-02 15:40:00.000;300;237.187;236.727;238.485;409.552;411.808;412.603;114.571;125.767;113.898;25593.4;28235.3;25533.6;79362.2
2022-08-02 15:40:00.000;2022-08-02 15:45:00.000;300;237.051;236.63;238.463;409.296;411.751;412.476;95.8144;105.231;94.2262;21179.6;23315;20869.8;65364.4
2022-08-02 15:45:00.000;2022-08-02 15:50:00.000;300;236.729;236.311;238.13;408.747;411.183;411.904;88.1596;97.2922;87.1933;19298.2;21364;19142;59804.3
2022-08-02 15:50:00.000;2022-08-02 15:55:00.000;300;236.493;236.136;237.874;408.422;410.822;411.437;100.197;109.814;103.432;22188.6;24396.3;23053.8;69638.6
